unique_id,label,source,text,clean_text
golbeck-316,fake,Golbeck,"Obama Family Rumored to Be in the Market for Expensive Martha’s Vineyard Property
President Barack Obama spent eight years warning about the supposed threat of man-made global warming, which included massive and catastrophic rising sea levels. Conservative Republicans and President Donald Trump, we were told, are on the “wrong side of history” when it comes to climate change.",Obama Family Rumored Be Market Expensive Marthas Vineyard Property President Barack Obama spent eight years warning supposed threat manmade global warming included massive catastrophic rising sea levels Conservative Republicans President Donald Trump told wrong side history comes climate change
golbeck-16,fake,Golbeck,"BOOM: PRESIDENT TRUMP SENT MICHELLE OBAMA A BILL SHE`LL NEVER BE ABLE TO PAY IN HER LIFETIME!!
Michelle Obama will go down in history as the First Lady who spent more money than any other. In addition to her 214 personal assistants, 32 gardeners, 11 dog walkers and her own mother on the government payroll as a “day care provider,” Moochelle also purchased $11 million worth of new furniture, an airplane, four yachts and two limousines with taxpayer money. What’s worse is that after she left, she decided she should be able to keep all of that stuff, even though technically it belongs to the American people. After an audit by the White House budget office, President Trump ordered that Michelle Obama be sent a bill for everything she should have paid for by herself but used government money instead. The bill, which totals eleventy billion dollars, is more than the Obama family will likely be able to afford in their lifetime. The tab includes $10 billion for vacations and the balance in food, clothing, liquor and cigarettes that should have been paid for out of their own pockets. The planes, boats and cars have been repossessed but they still have to pay for their use, wear and tear and fuel consumption. President Trump isn’t messing around, either. Press Secretary Sean Spicer’s assistant, Karen, told the Federalist: “PRESIDENT TRUMP WILL GARNISH THEIR PENSIONS, PUT LIENS ON THEIR PROPERTIES AND IF NECESSARY, STRIP THEM OF THEIR CITIZENSHIP AND SEND THEM BACK TO KENYA. THE AMERICAN PEOPLE NEED THAT MONEY TO INVEST IN WHOLESOME PROJECTS LIKE THE NEW IVANKA TRUMP RETAIL STORES THAT WILL BRING 1200 JOBS TO AMERICA, LOWERING THE UNEMPLOYMENT RATE TO 2.1 PERCENT. OBAMA NEVER HAD NUMBERS LIKE THAT.” Indeed he did not. Obama caused the worst unemployment crisis this country has ever seen, with more than 170 million people out of work at one time or another. The disgraceful spending by his wife could have been spent on training those people rather than just giving them all $62K a year in welfare benefits. That’s all over now. And Moochelle will pay.",BOOM PRESIDENT TRUMP SENT MICHELLE OBAMA A BILL SHELL NEVER BE ABLE TO PAY IN HER LIFETIME Michelle Obama go history First Lady spent money other In addition 214 personal assistants 32 gardeners 11 dog walkers mother government payroll day care provider Moochelle also purchased 11 million worth new furniture airplane four yachts two limousines taxpayer money Whats worse left decided able keep stuff even though technically belongs American people After audit White House budget office President Trump ordered Michelle Obama sent bill everything paid used government money instead The bill totals eleventy billion dollars Obama family likely able afford lifetime The tab includes 10 billion vacations balance food clothing liquor cigarettes paid pockets The planes boats cars repossessed still pay use wear tear fuel consumption President Trump isnt messing around either Press Secretary Sean Spicers assistant Karen told Federalist PRESIDENT TRUMP WILL GARNISH THEIR PENSIONS PUT LIENS ON THEIR PROPERTIES AND IF NECESSARY STRIP THEM OF THEIR CITIZENSHIP AND SEND THEM BACK TO KENYA THE AMERICAN PEOPLE NEED THAT MONEY TO INVEST IN WHOLESOME PROJECTS LIKE THE NEW IVANKA TRUMP RETAIL STORES THAT WILL BRING 1200 JOBS TO AMERICA LOWERING THE UNEMPLOYMENT RATE TO 21 PERCENT OBAMA NEVER HAD NUMBERS LIKE THAT Indeed not Obama caused worst unemployment crisis country ever seen 170 million people work one time another The disgraceful spending wife could spent training people rather giving 62K year welfare benefits Thats now And Moochelle pay
golbeck-116,fake,Golbeck,"Audio: Seymour Hersh States Seth Rich Was WikiLeaks Source
In an audio recording provided to Big League Politics by a source that currently wishes to remain anonymous, journalist Seymour Hersh confirms that Seth Rich had contacted WikiLeaks with sample emails from the leak. Hersh cites an FBI document as proof for his claim.",Audio Seymour Hersh States Seth Rich Was WikiLeaks Source In audio recording provided Big League Politics source currently wishes remain anonymous journalist Seymour Hersh confirms Seth Rich contacted WikiLeaks sample emails leak Hersh cites FBI document proof claim
golbeck-115,fake,Golbeck,"Proof that Mass Voter Fraud Swung New Hampshire Election ~
Republicans have been warning about the dangers of voter fraud for years, and for most of that time Democrats have been pretending that the problem just doesn’t exist.",Proof Mass Voter Fraud Swung New Hampshire Election  Republicans warning dangers voter fraud years time Democrats pretending problem doesnt exist
golbeck-328,fake,Golbeck,"MSM SILENT: Ben Carson Finds $500 BILLION in Fraud-Mismanagement in HUD Audit
HUD Director Dr. Ben Carson found a big economic pitfall by the Obama administration.  The mainstream media has neglected to report on a BIG find by Dr. Ben Carson. The Trump cabinet is a winning cabinet.  Dr. Carson dug into the agencies records in a sweeping audit wherein he found substantial bookkeeping errors, which only prove either the incompetence or the corrupt nature of the previous administration led by former-president, Barack Obama.  The HUD report found $500 billion in fraud and mismanagement in the government agency.  What We Found  The total amounts of errors corrected in HUDs notes and consolidated financial statements were $516.4 billion and $3.4 billion, respectively. There were several other unresolved audit matters, which restricted our ability to obtain sufficient, appropriate evidence to express an opinion. These unresolved audit matters relate to (1) the Office of General Counsels refusal to sign the management representation letter, (2) HUDs improper use of cumulative and first-in, first-out budgetary accounting methods of disbursing community planning and development program funds, (3) the $4.2 billion in nonpooled loan assets from Ginnie Maes stand-alone financial statements that we could not audit due to inadequate support, (4) the improper accounting for certain HUD assets and liabilities, and (5) material differences between HUDs subledger and general ledger accounts. This audit report contains 11 material weaknesses, 7 significant deficiencies, and 5 instances of noncompliance with applicable laws and regulations.  We took a screenshot of the .pdf file that outlines the findings by Dr. Carson and his team:  So far the Trump administration has had opposition from the left and the mainstream media. This is just another example of the terrible reporting you can find from their mouthpieces.",MSM SILENT Ben Carson Finds 500 BILLION FraudMismanagement HUD Audit HUD Director Dr Ben Carson found big economic pitfall Obama administration The mainstream media neglected report BIG find Dr Ben Carson The Trump cabinet winning cabinet Dr Carson dug agencies records sweeping audit wherein found substantial bookkeeping errors prove either incompetence corrupt nature previous administration led formerpresident Barack Obama The HUD report found 500 billion fraud mismanagement government agency What We Found The total amounts errors corrected HUDs notes consolidated financial statements 5164 billion 34 billion respectively There several unresolved audit matters restricted ability obtain sufficient appropriate evidence express opinion These unresolved audit matters relate 1 Office General Counsels refusal sign management representation letter 2 HUDs improper use cumulative firstin firstout budgetary accounting methods disbursing community planning development program funds 3 42 billion nonpooled loan assets Ginnie Maes standalone financial statements could audit due inadequate support 4 improper accounting certain HUD assets liabilities 5 material differences HUDs subledger general ledger accounts This audit report contains 11 material weaknesses 7 significant deficiencies 5 instances noncompliance applicable laws regulations We took screenshot pdf file outlines findings Dr Carson team So far Trump administration opposition left mainstream media This another example terrible reporting find mouthpieces
golbeck-100,fake,Golbeck,"Chris Christie: “Women’s Viagra Pill Will Only Increase Lesbianism”
“The New York Times relates that “Representative Cathy McMorris Rogers of Washington State, the top-ranking Republican woman in the House, was quoted by The Daily Beast last week as saying that Democrats were fabricating the “war on women” to distract from real issues. Joan Walsh wrote on AlterNet: “Read and decide for yourself if this war on women is imaginary:”",Chris Christie Womens Viagra Pill Will Only Increase Lesbianism The New York Times relates Representative Cathy McMorris Rogers Washington State topranking Republican woman House quoted The Daily Beast last week saying Democrats fabricating war women distract real issues Joan Walsh wrote AlterNet Read decide war women imaginary
golbeck-249,fake,Golbeck,"Sadiq Khan's Anti-Trump Attitude Gets DESTROYED by Queen Elizabeth...Media SHOCKED
Queen Elizabeth is not putting up with Sadiq Khan’s rhetoric — and the media isn’t saying a word about it.",Sadiq Khans AntiTrump Attitude Gets DESTROYED Queen ElizabethMedia SHOCKED Queen Elizabeth putting Sadiq Khans rhetoric  media isnt saying word it
golbeck-329,fake,Golbeck,"Loud-Mouth Liberal Ashley Judd Wants To Live In Middle East Where Women Have More Rights, Gets Unexpected Surprise!
Loud-mouth liberal celebrity, Ashley Judd, sent Tweets saying America lacks behind some other countries in equal rights for women. Does she want to go live there then, because we can start a GoFundMe for her one-way ticket to Burundi, Serbia, or Iraq which apparently treat women better than America. Maybe she forgets about the Muslims who murder Christians in the Middle East. Maybe she wants some acid thrown in her face or a gay friend tossed off a 5 story building. All of those can be arranged with her trip when she moves out of America. Im sure they would love to have a C-List celebrity with no gratitude for the great American country she lives in as a millionaire.  Ashley Judds terrible Tweets were met with hilariously heavy criticism from the plethora of much smarter people on the Internet. You would think someone like Judd hasnt surpassed 7th grade by the amount of stupid things she says. As long as you made it halfway through seventh grade, then youre probably smarter than this twit.  Start packing your bags, ladies. All ten of them with the blow-dryers and 46 colors of nail polish. Get your giant vagina costume all stuffed into a carry-on, or better yet, wear it on your flight to Iraq. Lets see how fast youre on a flight back to America. No chance you ladies survive a day in another country. Youll be back to the USA faster than the next Womens March can hire another terrorist or murderer. Youll be back to America faster than Madonna can hand out sexual favors for Clinton votes -whats she owe, like 50 million favors? Any woman who leaves America because of a numeric ranking is absurd, but I will fully support you leaving the country and making room for more intelligent women to take over. Seriously, please, get out. Make room for people with logically working brains filled to the brim with common sense and lacking stupidity.  You tell us. You know everything. Read the darn Constitution for once and stop reminding everyone that youve gone full stupid. You know Twitter users DRILLED her for this.  Here are some of the great replies from Twitter.  Usually when the Constitution is read, then people actually know it. It covers all people. Its not sexually discriminating. God forbid someone who speaks in front of thousands of people actually knows what shes talking about. You can read about the Constitution on Wikipediaand become a genius in about 15 minutes.  Lest we forget the horrible speech she gave to the beta males and man-hating feminists at the Womens March, which was quite possibly the most embarrassing thing a large group of women has ever done. Id like to see a mens march and our version of the costumes. I wonder how long that would last before we were arrested thanks to some whiny feminists. Typical double standard, which is what the democrats are really good at. That and being victims of literally everything they can think of. Their biggest enemy is themselves.",LoudMouth Liberal Ashley Judd Wants To Live In Middle East Where Women Have More Rights Gets Unexpected Surprise Loudmouth liberal celebrity Ashley Judd sent Tweets saying America lacks behind countries equal rights women Does want go live then start GoFundMe oneway ticket Burundi Serbia Iraq apparently treat women better America Maybe forgets Muslims murder Christians Middle East Maybe wants acid thrown face gay friend tossed 5 story building All arranged trip moves America Im sure would love CList celebrity gratitude great American country lives millionaire Ashley Judds terrible Tweets met hilariously heavy criticism plethora much smarter people Internet You would think someone like Judd hasnt surpassed 7th grade amount stupid things says As long made halfway seventh grade youre probably smarter twit Start packing bags ladies All ten blowdryers 46 colors nail polish Get giant vagina costume stuffed carryon better yet wear flight Iraq Lets see fast youre flight back America No chance ladies survive day another country Youll back USA faster next Womens March hire another terrorist murderer Youll back America faster Madonna hand sexual favors Clinton votes whats owe like 50 million favors Any woman leaves America numeric ranking absurd I fully support leaving country making room intelligent women take over Seriously please get out Make room people logically working brains filled brim common sense lacking stupidity You tell us You know everything Read darn Constitution stop reminding everyone youve gone full stupid You know Twitter users DRILLED this Here great replies Twitter Usually Constitution read people actually know it It covers people Its sexually discriminating God forbid someone speaks front thousands people actually knows shes talking about You read Constitution Wikipediaand become genius 15 minutes Lest forget horrible speech gave beta males manhating feminists Womens March quite possibly embarrassing thing large group women ever done Id like see mens march version costumes I wonder long would last arrested thanks whiny feminists Typical double standard democrats really good at That victims literally everything think of Their biggest enemy themselves
golbeck-288,fake,Golbeck,"Hillary Clinton In 2013: “I Would Like To See People Like Donald Trump Run For Office; They’re Honest And Can’t Be Bought”
Before running against billionaire real estate mogul Donald Trump for the presidency, Secretary of State Hillary Clinton told an audience at a private, paid speech she wanted to see more successful businessmen and women run for office because they can’t be bought.",Hillary Clinton In 2013 I Would Like To See People Like Donald Trump Run For Office Theyre Honest And Cant Be Bought Before running billionaire real estate mogul Donald Trump presidency Secretary State Hillary Clinton told audience private paid speech wanted see successful businessmen women run office cant bought
golbeck-538,fake,Golbeck,"Nancy Pelosi In Critical Condition After Head-On Car Crash
Democrat Senator Nancy Pelosi was involved in a car crash yesterday in her home state of California after a town hall event where she once again accused Donald Trump of “colluding with Russia.”",Nancy Pelosi In Critical Condition After HeadOn Car Crash Democrat Senator Nancy Pelosi involved car crash yesterday home state California town hall event accused Donald Trump colluding Russia
